pdb_id,cluster_v2_id,Within_PDB_rank,Without_O_rel_score,Without_O_rel_rank
5TBM,5TBM_V2C002,2,93.4529747626175,1
5TBM,5TBM_V2C001,1,83.547224536963,2
5TBM,5TBM_V2C003,3,82.3393468948345,3
5TBM,5TBM_V2C005,5,57.6295127309345,4
5TBM,5TBM_V2C004,6,53.3879645511099,5
5TBM,5TBM_V2C008,7,51.8056106672932,6
5TBM,5TBM_V2C007,9,51.5478401080827,7
5TBM,5TBM_V2C021,4,50.4136241522763,8
5TBM,5TBM_V2C006,10,45.1292627067669,9
5TBM,5TBM_V2C023,11,33.7130966831364,10
5TBM,5TBM_V2C017,20,31.3894778257457,11
5TBM,5TBM_V2C009,8,30.4594369603611,12
5TBM,5TBM_V2C013,18,29.6307614795918,13
5TBM,5TBM_V2C020,14,29.5433792680534,14
5TBM,5TBM_V2C019,17,29.2360691718995,15
5TBM,5TBM_V2C022,22,28.5688648449765,16
5TBM,5TBM_V2C015,21,28.5107109988226,17
5TBM,5TBM_V2C011,15,28.3918960949764,18
5TBM,5TBM_V2C010,16,28.3777783065149,19
5TBM,5TBM_V2C014,13,28.3199273449764,20
5TBM,5TBM_V2C012,12,28.2948552295919,21
5TBM,5TBM_V2C016,19,28.2907831142072,22
5TBM,5TBM_V2C018,23,28.2782302295918,23
6E3S,6E3S_V2C006,3,83.6585614393126,1
6E3S,6E3S_V2C003,1,81.4378056608038,2
6E3S,6E3S_V2C005,2,80.5546639393126,3
6E3S,6E3S_V2C007,6,79.126432720476,4
6E3S,6E3S_V2C004,4,76.320501636681,5
6E3S,6E3S_V2C002,7,69.3092544656284,6
6E3S,6E3S_V2C001,5,67.0781404524705,7
6E3S,6E3S_V2C018,10,61.1223162593985,8
6E3S,6E3S_V2C074,26,60.6494924106663,9
6E3S,6E3S_V2C009,8,60.1132349019871,10
